date,layer,window,return_type,number_of_nodes,number_of_edges,graph_density,alpha,n_excluded_nodes,average_degree,average_strength,median_strength,maximum_strength,edge_weight_mean,edge_weight_std,average_absolute_weight,average_signed_weight,positive_edge_ratio,negative_edge_ratio,centrality_concentration,avg_abs_partial_correlation,average_partial_correlation,average_clustering,global_transitivity,assortativity,largest_cc_share,n_connected_components,spectral_radius,algebraic_connectivity,laplacian_entropy,spectral_gap,eigenvalue_concentration,modularity,number_of_communities,largest_community_share,community_size_herfindahl,community_method,sector_purity,community_compression,market_mode_share,correlation_eigenvalue_concentration,negative_diversification,mst_length,mst_total_length,mst_max_degree,mst_mean_degree,mst_diameter,network_fragility,edge_turnover,community_ari,community_nmi,community_jaccard,community_turnover
2019-11-12,partial_correlation,60,residual,29,78,0.1921182266009852,0.02,1,5.379310344827586,0.5347023606300354,0.5080885887145996,0.9781203866004944,0.09939979016780853,0.033614687621593475,0.019096512347459793,-0.001615696819499135,0.4358974358974359,0.5641025641025641,0.04033534228801727,0.019096512347459793,-0.001615696819499135,0.1236270714147523,0.21634615384615385,-0.1742182100373249,1.0,1,0.6236910223960876,0.06653615832328796,3.1620800495147705,0.22420063614845276,0.0532512292265892,0.332452299394506,6,0.27586206896551724,0.19619500594530317,greedy,0.5172413793103449,0.8214285714285714,0.08919519931077957,0.04147821664810181,0.005738865810785754,1.2959764301776886,36.28734004497528,4.0,1.9310344827586208,14.0,0.4108178562963342,0.09876543209876543,0.5736851716581446,0.7647677897480136,0.6888888888888888,0.23523221025198637
2019-11-13,partial_correlation,60,residual,29,76,0.18719211822660098,0.02,1,5.241379310344827,0.5005752444267273,0.43734923005104065,0.8938692808151245,0.09550449252128601,0.03296349570155144,0.017877686768770218,-0.0018920786678791046,0.40789473684210525,0.5921052631578947,0.04016055539250374,0.017877686768770218,-0.0018920786678791046,0.1008170143942039,0.17010309278350516,-0.19337416912177188,1.0,1,0.5857036709785461,0.08054742217063904,3.1637320518493652,0.2389974296092987,0.05355924740433693,0.3339923862610719,5,0.27586206896551724,0.21046373365041615,greedy,0.5517241379310345,0.8571428571428572,0.08747347444295883,0.040765415877103806,0.016164562589677356,1.3014437769140517,36.440425753593445,4.0,1.9310344827586208,10.0,0.4091175578730349,0.14457831325301207,0.3516012440110952,0.5860872507059487,0.5103174603174603,0.4139127492940513
2019-11-14,partial_correlation,60,residual,29,76,0.18719211822660098,0.02,1,5.241379310344827,0.512097954750061,0.44502145051956177,0.9469088315963745,0.09770291298627853,0.03283736854791641,0.018289214000105858,-0.0021808696910738945,0.39473684210526316,0.6052631578947368,0.041146084666252136,0.018289214000105858,-0.0021808696910738945,0.1203395278101932,0.20638820638820637,-0.1932865279191913,1.0,1,0.6089049577713013,0.08389358222484589,3.152951240539551,0.2557801604270935,0.0523541234433651,0.32802276762760463,6,0.20689655172413793,0.17241379310344832,greedy,0.4827586206896552,0.8214285714285714,0.09164341539144516,0.04135529324412346,0.01612689916119947,1.29647673027856,36.30134844779968,4.0,1.9310344827586208,13.0,0.40944606763095104,0.14634146341463417,0.2422680412371134,0.531557974166509,0.4742857142857143,0.46844202583349104
2019-11-15,partial_correlation,60,residual,29,77,0.1896551724137931,0.02,1,5.310344827586207,0.499891996383667,0.436906099319458,0.9398564100265503,0.09413550794124603,0.03274120017886162,0.017853286117315292,-0.0007928276318125427,0.44155844155844154,0.5584415584415584,0.04025300592184067,0.017853286117315292,-0.0007928276318125427,0.10874487608074981,0.1889168765743073,-0.12367172974139036,1.0,1,0.5839964747428894,0.11019987612962723,3.165907144546509,0.24984249472618103,0.05102013051509857,0.3419460970160396,5,0.27586206896551724,0.21046373365041615,greedy,0.5172413793103449,0.8571428571428572,0.08968149125576019,0.04089949280023575,0.01469621072867,1.2980559595993586,36.34556686878204,5.0,1.9310344827586208,11.0,0.4099693927785446,0.26136363636363635,0.31443298969072164,0.5829661926913245,0.47222222222222227,0.41703380730867545
2019-11-18,partial_correlation,60,residual,29,78,0.1921182266009852,0.02,1,5.379310344827586,0.4925152361392975,0.4352531135082245,0.9600552916526794,0.09155731648206711,0.030811233446002007,0.017589829862117767,-9.235050129063893e-06,0.46153846153846156,0.5384615384615384,0.04043423384428024,0.017589829862117767,-9.235050129063893e-06,0.11905822654356324,0.23357664233576642,-0.13533882482392912,1.0,1,0.5787949562072754,0.09112711250782013,3.1671934127807617,0.2641258239746094,0.05205274373292923,0.3299348993829699,6,0.20689655172413793,0.17241379310344832,greedy,0.5517241379310345,0.8214285714285714,0.08826994895935059,0.04065559431910515,0.01784815205753043,1.2991050311497279,36.37494087219238,5.0,1.9310344827586208,13.0,0.41085082014842184,0.1325301204819277,0.5489690721649485,0.7497320644389263,0.6238095238095238,0.25026793556107374
2019-11-19,partial_correlation,60,residual,29,77,0.1896551724137931,0.02,1,5.310344827586207,0.5028518438339233,0.4591691493988037,1.1093720197677612,0.0946928858757019,0.031038198620080948,0.017958994954824448,-0.00040985929081216455,0.44155844155844154,0.5584415584415584,0.04149876907467842,0.017958994954824448,-0.00040985929081216455,0.12221648363712999,0.215311004784689,-0.19070676902871764,1.0,1,0.5980631709098816,0.09085385501384735,3.1546695232391357,0.2571558952331543,0.05218181759119034,0.3430958059600878,5,0.3103448275862069,0.23186682520808563,greedy,0.4827586206896552,0.8571428571428572,0.09066785871982574,0.041113417595624924,0.024141572111721854,1.2946126546178545,36.24915432929993,5.0,1.9310344827586208,13.0,0.41038464716282386,0.15476190476190477,0.49695493300852617,0.7073845076286864,0.5986111111111112,0.29261549237131357
2019-11-20,partial_correlation,60,residual,29,78,0.1921182266009852,0.02,1,5.379310344827586,0.5213840007781982,0.48911625146865845,1.2358813285827637,0.09692394733428955,0.031238611787557602,0.01862085796892643,-0.0009988780366256833,0.4230769230769231,0.5769230769230769,0.041095931082963943,0.01862085796892643,-0.0009988780366256833,0.12386502466410829,0.23515439429928742,-0.15903887875251743,1.0,1,0.6131451725959778,0.1246139332652092,3.1619696617126465,0.2571301758289337,0.05342647060751915,0.3476520347512369,5,0.27586206896551724,0.21284185493460167,greedy,0.5517241379310345,0.8571428571428572,0.09349753707647324,0.04161834716796875,0.03035770905588797,1.2918744683265686,36.17248511314392,5.0,1.9310344827586208,12.0,0.41107138589464975,0.17647058823529416,0.7015745289953189,0.8284092173961124,0.7753968253968253,0.1715907826038876
2019-11-21,partial_correlation,60,residual,29,77,0.1896551724137931,0.02,1,5.310344827586207,0.53821861743927,0.49205538630485535,1.261041522026062,0.10135284811258316,0.03255583718419075,0.019222091883420944,-0.0008083517313934863,0.42857142857142855,0.5714285714285714,0.04067409783601761,0.019222091883420944,-0.0008083517313934863,0.10458083772519194,0.21323529411764705,-0.12998947492557938,1.0,1,0.6316957473754883,0.13306187093257904,3.1683132648468018,0.272318959236145,0.05299225077033043,0.3378450981568064,6,0.27586206896551724,0.18430439952437574,greedy,0.5862068965517241,0.8214285714285714,0.0945824682712555,0.04201355576515198,0.05672261804033618,1.2863807550498418,36.01866114139557,6.0,1.9310344827586208,11.0,0.41010975674993694,0.1097560975609756,0.8954012623985572,0.9503548946410063,0.9142857142857143,0.04964510535899369
2019-11-22,partial_correlation,60,residual,29,76,0.18719211822660098,0.02,1,5.241379310344827,0.524394690990448,0.4660971462726593,1.021774411201477,0.1000489890575409,0.03275619074702263,0.018728382885456085,-0.0005932479398325086,0.4473684210526316,0.5526315789473685,0.0396076962351799,0.018728382885456085,-0.0005932479398325086,0.08083155126480804,0.1741424802110818,-0.17332584940657977,1.0,1,0.5968467593193054,0.1395072638988495,3.1775243282318115,0.24909019470214844,0.05296311527490616,0.33717581707962235,6,0.2413793103448276,0.17954815695600476,greedy,0.5862068965517241,0.8214285714285714,0.0926375463604927,0.041687972843647,0.06340664939047458,1.2902557424136571,36.1271607875824,5.0,1.9310344827586208,10.0,0.4089332714872603,0.24137931034482762,0.6383327863472268,0.8166140876471688,0.8116402116402117,0.1833859123528312
2019-11-25,partial_correlation,60,residual,29,77,0.1896551724137931,0.02,1,5.310344827586207,0.5084612369537354,0.44541609287261963,1.0018898248672485,0.09574920684099197,0.03187045454978943,0.018159329891204834,-0.00021081898012198508,0.4675324675324675,0.5324675324675324,0.040583960711956024,0.018159329891204834,-0.00021081898012198508,0.087947962435071,0.20199501246882792,-0.20442199314739531,1.0,1,0.5927851796150208,0.13211745023727417,3.1648566722869873,0.23101210594177246,0.05346943438053131,0.3592970803949537,5,0.2413793103448276,0.2080856123662307,greedy,0.5172413793103449,0.8571428571428572,0.09048670530319214,0.04117225110530853,0.06405128032799023,1.296316691807338,36.29686737060547,4.0,1.9310344827586208,11.0,0.4100797110419164,0.1785714285714286,0.44674491186425774,0.6873767009466845,0.6010101010101009,0.31262329905331554
2019-11-26,partial_correlation,60,residual,29,76,0.18719211822660098,0.02,1,5.241379310344827,0.49294960498809814,0.48341554403305054,0.9880926609039307,0.0940496027469635,0.028373904526233673,0.017605343833565712,0.00012109227100154385,0.4868421052631579,0.5131578947368421,0.04072103649377823,0.017605343833565712,0.00012109227100154385,0.09577875710593585,0.20155038759689922,-0.1980700164228424,1.0,1,0.5794115662574768,0.11984572559595108,3.159958839416504,0.21473369002342224,0.053744927048683167,0.32845912427106366,5,0.27586206896551724,0.21284185493460167,greedy,0.5172413793103449,0.8571428571428572,0.08950311690568924,0.040974393486976624,0.045144526687082465,1.3005777129105158,36.416175961494446,4.0,1.9310344827586208,11.0,0.40930438490679305,0.15662650602409633,0.9008506654727502,0.9377318202487984,0.9416666666666668,0.06226817975120158
