replication,old_rmse,new_rmse,old_mae,new_mae,brier_score,coverage_95,old_coverage_95,coverage_improvement,interval_score_95,old_interval_score_95,interval_score_change,var_exceedance_95,expected_shortfall_calibration_error,drawdown_probability_5,rmse_difference_new_minus_old,mae_difference_new_minus_old
24,0.07003793214294433,0.05864377107675764,0.05286927243241935,0.041987707264238165,0.6679493725364692,0.9255499153976311,0.8206429780033841,0.10490693739424695,0.3732290020534235,0.5088929986799875,-0.13566399662656398,0.07445008460236886,-0.012496308850660609,0.3629441624365482,-0.011394161066186695,-0.010881565168181187
25,0.05835946889565923,0.04861992413736863,0.045773621420023766,0.03783650789741062,0.6240421276368168,0.9720812182741116,0.8815566835871405,0.09052453468697119,0.3077184951280248,0.3266380613062671,-0.01891956617824231,0.023688663282571912,-0.08272244459898283,0.3849407783417936,-0.0097395447582906,-0.007937113522613143
26,0.07276342643860775,0.0666539596065152,0.055669997318571834,0.04902308477408727,0.7047826643469486,0.9272419627749577,0.8181049069373942,0.1091370558375635,0.37697126508287226,0.4863107068350962,-0.10933944175222393,0.07614213197969544,-0.0053579099195389945,0.4077834179357022,-0.0061094668320925555,-0.006646912544484566
27,0.07306432911765574,0.06603694001041915,0.05694931853895881,0.0514441949449804,0.6918453424530117,0.9137055837563451,0.8392554991539763,0.0744500846023688,0.4056242517664713,0.45425970401009447,-0.048635452243623145,0.08798646362098139,-0.055085755620996685,0.4450084602368866,-0.00702738910723659,-0.005505123593978409
28,0.0678565820531758,0.06090074673489361,0.051532024651606514,0.046333927467286415,0.667867736624925,0.9517766497461929,0.8637901861252115,0.08798646362098139,0.331679522737065,0.38694849966926326,-0.05526897693219823,0.04991539763113367,-0.02479848566738252,0.34856175972927245,-0.006955835318282186,-0.0051980971843201
29,0.0641378931891019,0.05655427354171473,0.04927513111099537,0.042352323645136136,0.6274694156368014,0.9568527918781726,0.862098138747885,0.09475465313028764,0.3562670251476058,0.39708890465410074,-0.04082187950649496,0.03807106598984772,-0.04969716715589956,0.36548223350253806,-0.007583619647387171,-0.006922807465859236
30,0.06027006490879416,0.04940953253019194,0.04661790353384593,0.03755940905921792,0.6294568624369173,0.9771573604060914,0.8798646362098139,0.09729272419627744,0.3191018888043357,0.34386404812936483,-0.02476215932502912,0.02284263959390863,-0.06062835475093349,0.35279187817258884,-0.010860532378602225,-0.00905849447462801
31,0.06802436215082351,0.06068621217487231,0.052520679045983634,0.045717876407069695,0.6691139174927729,0.9568527918781726,0.8688663282571912,0.08798646362098139,0.3764118688448747,0.43040414387224474,-0.05399227502737003,0.043993231810490696,-0.05650810806560505,0.47715736040609136,-0.007338149975951204,-0.006802802638913939
32,0.06829095952872948,0.05749199108050024,0.051632315816894724,0.04170400167405745,0.663351565500868,0.9585448392554992,0.868020304568528,0.09052453468697119,0.34652293285386093,0.42475917054893,-0.07823623769506904,0.04230118443316413,-0.03721607589395473,0.4137055837563452,-0.010798968448229238,-0.00992831414283727
33,0.07898903580795606,0.06572205849823615,0.061169848094575464,0.04836768288716236,0.6737851907817748,0.9196277495769881,0.8189509306260575,0.10067681895093061,0.41352954842793577,0.5354441599653965,-0.12191461153746075,0.0829103214890017,-0.024127277987599227,0.3697123519458545,-0.013266977309719916,-0.012802165207413105
34,0.06050888847992397,0.0520327288928559,0.04779606026596623,0.04014671985491114,0.6855276956785706,0.9864636209813875,0.9052453468697124,0.08121827411167515,0.3023960724041928,0.2888461261936846,0.013549946210508201,0.011844331641285956,-0.06804765282046163,0.36717428087986465,-0.008476159587068072,-0.00764934041105509
35,0.06678304653244413,0.05287548548024855,0.050012715369612146,0.039108786477507256,0.6214233019434641,0.9644670050761421,0.8722504230118443,0.09221658206429784,0.343844055356951,0.37822390233401565,-0.03437984697706464,0.03468697123519458,-0.05926799889264407,0.2478849407783418,-0.01390756105219558,-0.01090392889210489
36,0.05749819246877912,0.04656026798843518,0.04421397740983613,0.03553951560038074,0.647461508576833,0.9856175972927242,0.9060913705583756,0.07952622673434862,0.291394601169296,0.29348194443266434,-0.0020873432633683464,0.012690355329949238,-0.08470627358262287,0.33587140439932317,-0.01093792448034394,-0.008674461809455393
37,0.06752956449212662,0.06289248741799101,0.05219250848336531,0.047020517751498125,0.6778068784526197,0.94331641285956,0.8646362098138748,0.07868020304568524,0.3795400811574337,0.42689963490895244,-0.047359553751518735,0.06260575296108291,-0.03881453861832701,0.47377326565143824,-0.004637077074135604,-0.005171990731867186
38,0.07484264297424278,0.06186320062331231,0.05840492876117211,0.045399057724021384,0.660489805081329,0.9526226734348562,0.8358714043993232,0.11675126903553301,0.37075578532184433,0.4560974440790949,-0.08534165875725058,0.05245346869712352,-0.04347189095264986,0.43485617597292725,-0.012979442350930473,-0.013005871037150729
39,0.0639781650488187,0.05879392539849423,0.05009208833141956,0.044333471578656046,0.6504312825759867,0.94331641285956,0.8544839255499154,0.08883248730964466,0.3620396179413223,0.39602129075867015,-0.033981672817347874,0.0583756345177665,-0.032316783207226835,0.40439932318104904,-0.005184239650324475,-0.005758616752763512
40,0.07236955947965008,0.06489220258506434,0.054669343773359066,0.046790806008039316,0.6903446668900696,0.9263959390862944,0.8265651438240271,0.09983079526226724,0.41037734552349636,0.5015638409977707,-0.09118649547427438,0.07614213197969544,-0.02460343275311047,0.4373942470389171,-0.007477356894585743,-0.00787853776531975
41,0.06238701554748273,0.05709690579964435,0.04591510686395411,0.04131488400885296,0.6517602832209337,0.9509306260575296,0.871404399323181,0.07952622673434862,0.32997961908996304,0.37641281937232596,-0.04643320028236292,0.04568527918781726,-0.014353086333695225,0.3426395939086294,-0.005290109747838383,-0.004600222855101144
42,0.06295971459900523,0.053337145704398604,0.048417010883952144,0.03963774675826509,0.6377403477019088,0.9686971235194586,0.871404399323181,0.09729272419627755,0.3134465543013541,0.3603803860177263,-0.04693383171637222,0.02707275803722504,-0.04245003516581197,0.27411167512690354,-0.00962256889460663,-0.008779264125687053
43,0.061246033905755844,0.055590294704681915,0.04588626364577814,0.0405349933929033,0.6638776082500984,0.9712351945854484,0.8866328257191202,0.08460236886632821,0.31189759824263985,0.3513333855089953,-0.03943578726635544,0.030456852791878174,-0.031443572951793064,0.3730964467005076,-0.005655739201073928,-0.005351270252874844
44,0.0672796143650317,0.059889916570331284,0.05213858106582723,0.04597802792020744,0.6676119008587694,0.9593908629441624,0.8375634517766497,0.12182741116751272,0.3392215317239166,0.4209001580837064,-0.08167862635978979,0.03976311336717428,-0.040853933257814196,0.4103214890016921,-0.007389697794700417,-0.006160553145619786
45,0.06728711157583811,0.058930673949901625,0.0513633534753138,0.04378210750249111,0.6405580589173944,0.9543147208121827,0.8807106598984772,0.07360406091370553,0.36508780657609663,0.39263087205554503,-0.027543065479448403,0.04568527918781726,-0.048041079520244834,0.3316412859560068,-0.008356437625936484,-0.007581245972822691
