horizon,method,window,level,coverage,coverage_error,average_width,normalized_width,interval_score,winkler_score,var_exceedance_rate,coverage_acceptance,var_acceptance,objective,selection_records,selected,selection_reason
10,global,500.0,0.95,0.9538784067085954,0.0038784067085954055,0.19606031273728156,5.549427177742059,0.2758628621715718,0.2758628621715718,0.05870020964360587,True,True,8.39836067863303,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,global,,0.95,0.9371069182389937,-0.012893081761006231,0.1779911504476502,5.037985066438904,0.2756016324821413,0.2756016324821413,0.06918238993710692,True,True,9.275662668954595,477,True,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,volatility_stratified,250.0,0.95,0.9350104821802935,-0.014989517819706477,0.2224173813168939,6.29545594133639,0.31261124939685686,0.31261124939685686,0.08176100628930817,True,False,11.035996814548147,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,volatility_stratified,500.0,0.95,0.9475890985324947,-0.002410901467505222,0.22341977518974251,6.323828393277962,0.32565022617464906,0.32565022617464906,0.04821802935010482,True,True,9.4029646275993,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,volatility_stratified,,0.95,0.9454926624737946,-0.004507337526205357,0.18664490974591108,5.282927076216057,0.2919239384434458,0.2919239384434458,0.08176100628930817,True,False,10.031161594460821,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,regime_stratified,250.0,0.95,0.939203354297694,-0.010796645702305985,0.21113568727992382,5.976131042657763,0.3022969021458237,0.3022969021458237,0.07337526205450734,True,False,10.1570502743008,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,regime_stratified,500.0,0.95,0.9517819706498952,0.0017819706498952703,0.19897268555655342,5.631860999505066,0.2778679389746541,0.2778679389746541,0.05870020964360587,True,True,8.371256321849032,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,regime_stratified,,0.95,0.9475890985324947,-0.002410901467505222,0.19243292814224022,5.4467551663859455,0.2780974202351802,0.2780974202351802,0.05870020964360587,True,True,8.402908951434961,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,volatility_regime,250.0,0.95,0.939203354297694,-0.010796645702305985,0.22869191780891884,6.47305477738046,0.31622218723840806,0.31622218723840806,0.07966457023060797,True,False,10.865666617946706,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,volatility_regime,500.0,0.95,0.9475890985324947,-0.002410901467505222,0.22695378162716218,6.423857364446705,0.3276691376005872,0.3276691376005872,0.04612159329140461,True,True,9.564931100866282,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
