horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
10,historical_peak,0.8,current_drawdown_regime,0.8050314465408805,0.005031446540880502,0.009579425530985616,0.22582398676467985,0.016869111939512918,0.16981132075471697,True
10,historical_peak,0.8,volatility_regime,0.8490566037735849,0.049056603773584895,0.009358742129991736,0.22999728752982893,0.06071531877887492,0.16352201257861634,False
10,historical_peak,0.9,global,0.8511530398322851,-0.04884696016771495,0.006791230757457433,0.23286365948480908,0.05796682752002047,0.0,False
10,historical_peak,0.9,current_drawdown_stratified,0.8742138364779874,-0.025786163522012573,0.007555872515771406,0.24395815518493735,0.03578161758963335,0.0,False
10,historical_peak,0.9,volatility_stratified,0.8532494758909853,-0.0467505241090147,0.0067516180629470885,0.2342597143886659,0.05584473931584845,0.0,False
10,historical_peak,0.9,regime_stratified,0.8784067085953878,-0.02159329140461219,0.006496656232695379,0.23873802112618506,0.03047732784856942,0.16352201257861634,False
10,historical_peak,0.9,current_drawdown_regime,0.870020964360587,-0.029979035639413065,0.0075762949885326775,0.24304212601268896,0.03998575188807263,0.16981132075471697,False
10,historical_peak,0.9,volatility_regime,0.9056603773584906,0.005660377358490565,0.007010953607971617,0.24483633151698594,0.015119694281632042,0.16352201257861634,True
10,historical_peak,0.95,global,0.89937106918239,-0.050628930817609996,0.004597442946965424,0.2466681891891908,0.057693055656467325,0.0,False
10,historical_peak,0.95,current_drawdown_stratified,0.909853249475891,-0.04014675052410899,0.005372690947672192,0.2563211668793836,0.04808265314057501,0.0,False
10,historical_peak,0.95,volatility_stratified,0.89937106918239,-0.050628930817609996,0.00449785990772024,0.24929505828249557,0.05761974130815519,0.0,False
10,historical_peak,0.95,regime_stratified,0.9454926624737946,-0.004507337526205357,0.004215552795613186,0.2600597815117669,0.011323488136936212,0.16352201257861634,True
10,historical_peak,0.95,current_drawdown_regime,0.909853249475891,-0.04014675052410899,0.005295747790007488,0.2566595896254142,0.04800909421037061,0.16981132075471697,False
10,historical_peak,0.95,volatility_regime,0.939203354297694,-0.010796645702305985,0.004525168882993018,0.2603171553570309,0.017924986138869312,0.16352201257861634,False
10,historical_peak,0.99,global,0.9706498951781971,-0.019350104821802883,0.0014788912757146115,0.281515478090623,0.023644150878423722,0.0,False
10,historical_peak,0.99,current_drawdown_stratified,0.9559748427672956,-0.034025157232704384,0.0018658173733808326,0.27958004774367234,0.03868677508352194,0.0,False
10,historical_peak,0.99,volatility_stratified,0.9769392033542977,-0.013060796645702255,0.0014578811242386158,0.28559884383200584,0.01737466620826093,0.0,False
10,historical_peak,0.99,regime_stratified,0.9769392033542977,-0.013060796645702255,0.0013912969964445534,0.28766636343814217,0.01732875727652823,0.16352201257861634,True
10,historical_peak,0.99,current_drawdown_regime,0.9559748427672956,-0.034025157232704384,0.0017801958568753693,0.28226069741771764,0.038627960063756926,0.16981132075471697,False
10,historical_peak,0.99,volatility_regime,0.9769392033542977,-0.013060796645702255,0.0014850396958681375,0.2873786564331281,0.017419622905901676,0.16352201257861634,False
