horizon,alpha,rmse,rmse_standard_error,mae,directional_accuracy,relative_improvement_vs_drift,selected,selection_reason,selected_center
20,0.4,0.06046931125473514,0.009279821835293668,0.04287444702191362,0.6147332768839966,-0.00848588838071344,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.45,0.060663107247516876,0.009198061293945951,0.043118140309008214,0.6054191363251482,-0.011717949733649827,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.5,0.06088515488103501,0.009120650007662046,0.0433878941602181,0.6003386960203217,-0.015421182006430806,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.55,0.061135146319557465,0.009048094333434358,0.04367289280355241,0.594411515664691,-0.019590451223072427,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.6,0.061412740313407044,0.00898088063919335,0.04397950365312477,0.6011854360711262,-0.02422006614157575,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.65,0.061717564410404525,0.008919469459901224,0.04430713773994206,0.6045723962743438,-0.029303815135595948,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.7,0.062049217298569395,0.008864289907244185,0.04465555008092826,0.6045723962743438,-0.03483500526518068,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.75,0.06240727124814806,0.008815734471479365,0.04501844032567727,0.6011854360711262,-0.040806503004057026,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.8,0.06279127462137524,0.008774154352354584,0.0453921726543112,0.5977984758679086,-0.047210776096548675,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.85,0.06320075441935949,0.008739855448147425,0.04578614928532208,0.5952582557154953,-0.05403993603363605,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.9,0.06363521883703714,0.008713095117298765,0.04618887746321829,0.5952582557154953,-0.061285780663578746,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.95,0.06409415979916747,0.00869407980590069,0.04660003863945904,0.5935647756138865,-0.06893983648635045,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,1.0,0.06457705545274586,0.008682963607107571,0.04701965147737492,0.5918712955122777,-0.07699340022122861,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
40,0.0,0.08742271810167354,0.016745247010529908,0.06419916309781636,0.6503014642549526,0.0,True,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.05,0.08687060982577956,0.016768271025573614,0.06344043138777013,0.6503014642549526,0.006315386753954231,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.1,0.0864276686932922,0.016799043856908297,0.06285768267019609,0.6503014642549526,0.011382046108702403,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.15,0.08609557963710236,0.01683774936148357,0.062404469761028473,0.6391042204995694,0.015180704665664853,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.2,0.08587562869275714,0.01688452621620372,0.062061895426279365,0.599483204134367,0.01769665188306226,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.25,0.08576867858805136,0.016939461422844693,0.06178858387320724,0.590869939707149,0.018920019298628042,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.3,0.08577515201467803,0.017002585556672552,0.061604147973365476,0.6167097329888027,0.01884597187975069,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.35,0.08589502332835293,0.017073870106372898,0.06154083512275053,0.6236003445305771,0.01747480296304545,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.4,0.08612781905431001,0.017153227103728515,0.06159088665801854,0.6296296296296297,0.014811928472156982,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.45,0.08647262717509017,0.017240511069408153,0.06176825965019361,0.6459948320413437,0.010867780677768455,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.5,0.08692811477944765,0.017335523126861447,0.06205145081459335,0.6563307493540051,0.005657606317509668,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.55,0.08749255328707697,0.017438016980544393,0.062438681482265064,0.6580534022394487,-0.0007988219414799465,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.6,0.08816385016156957,0.01754770633507967,0.06294215435373447,0.6589147286821705,-0.008477568256732532,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.65,0.08893958580389208,0.01766427325989217,0.06356072396992404,0.661498708010336,-0.01735095562293551,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.7,0.08981705419162095,0.017787376983195505,0.06428207686434992,0.661498708010336,-0.0273880307308996,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.75,0.0907933057961311,0.017916662626407058,0.0651230553087179,0.6623600344530577,-0.03855505488330306,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.8,0.09186519136297204,0.018051769455766406,0.06607712891866922,0.6589147286821705,-0.05081600478415526,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.85,0.0930294052649896,0.01819233831928319,0.06714820693892849,0.6537467700258398,-0.06413306844103632,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.9,0.09428252731443075,0.018338018040388173,0.06829056619773775,0.652885443583118,-0.07846712344014721,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
40,0.95,0.09562106212896608,0.01848847064231583,0.06951217456038238,0.657192075796727,-0.09377818724141909,False,one-standard-error shrinkage; best alpha=0.25,random_walk_drift_fallback
