horizon,anchor_mode,method,threshold,brier_score,log_loss,mean_probability,event_rate,reliability_gap
10,origin_peak,historical_empirical,0.03,0.24198829765474902,0.6770954596082104,0.4618869936034115,0.37583892617449666,0.08604806742891485
10,origin_peak,historical_empirical,0.05,0.16025672242797523,0.5028576500426774,0.2571961620469083,0.19379194630872484,0.06340421573818347
10,origin_peak,historical_empirical,0.07,0.09806907378776021,0.35109919044703075,0.160181236673774,0.10654362416107382,0.05363761251270019
10,origin_peak,historical_empirical,0.1,0.037300594989551066,0.1754097794426644,0.08635394456289978,0.03607382550335571,0.050280119059544076
10,origin_peak,hybrid_importance_sampling,0.03,0.22223594022651008,0.6372481228171212,0.39925545302013427,0.37583892617449666,0.02341652684563761
10,origin_peak,hybrid_importance_sampling,0.05,0.15379589240771813,0.49479345778988526,0.17767994966442954,0.19379194630872484,-0.0161119966442953
10,origin_peak,hybrid_importance_sampling,0.07,0.09790032843959731,0.42468288257191106,0.08079865771812081,0.10654362416107382,-0.025744966442953016
10,origin_peak,hybrid_importance_sampling,0.1,0.038932131082214765,0.2586264789372446,0.026548238255033555,0.03607382550335571,-0.009525587248322153
10,historical_peak,egarch_student_t,0.03,0.053351931837248324,0.15064346370095158,0.9091329697986578,0.915268456375839,-0.006135486577181215
10,historical_peak,egarch_student_t,0.05,0.07124478145973154,0.20943440436890273,0.8246719798657718,0.834731543624161,-0.010059563758389234
10,historical_peak,egarch_student_t,0.07,0.046918625,0.15758605357104857,0.7598255033557046,0.7583892617449665,0.001436241610738187
10,historical_peak,egarch_student_t,0.1,0.024915712248322147,0.09909469315709889,0.7058791946308725,0.7088926174496645,-0.003013422818792022
10,historical_peak,residual_block_bootstrap,0.03,0.05218270155201342,0.14780460946964558,0.9084576342281879,0.915268456375839,-0.006810822147651052
10,historical_peak,residual_block_bootstrap,0.05,0.06774915583053692,0.19371799215844845,0.8326078020134228,0.834731543624161,-0.00212374161073825
10,historical_peak,residual_block_bootstrap,0.07,0.04654254677013423,0.148296294433179,0.771682466442953,0.7583892617449665,0.01329320469798656
10,historical_peak,residual_block_bootstrap,0.1,0.025087497692953018,0.0929484487815084,0.713932466442953,0.7088926174496645,0.005039848993288576
10,historical_peak,hybrid_monte_carlo,0.03,0.052568430998322146,0.14877239020213592,0.910790687919463,0.915268456375839,-0.00447776845637593
10,historical_peak,hybrid_monte_carlo,0.05,0.06974339471476511,0.20154916824786492,0.8304354026845637,0.834731543624161,-0.004296140939597293
10,historical_peak,hybrid_monte_carlo,0.07,0.047030817323825504,0.15242529300376811,0.766177432885906,0.7583892617449665,0.007788171140939548
10,historical_peak,hybrid_monte_carlo,0.1,0.024987577810402686,0.0934768497447807,0.7098099832214765,0.7088926174496645,0.0009173657718120065
10,historical_peak,historical_empirical,0.03,0.08108186092339312,0.33496021595444636,0.9746801705756933,0.915268456375839,0.05941171419985436
10,historical_peak,historical_empirical,0.05,0.15600514935701387,0.6007628288603132,0.9690831556503198,0.834731543624161,0.13435161202615875
10,historical_peak,historical_empirical,0.07,0.2232481557362106,0.8005740956105176,0.9584221748400853,0.7583892617449665,0.20003291309511884
10,historical_peak,historical_empirical,0.1,0.26102847035742055,0.8742261174760064,0.9426972281449892,0.7088926174496645,0.23380461069532477
10,historical_peak,hybrid_importance_sampling,0.03,0.052568430998322146,0.14877239020213592,0.910790687919463,0.915268456375839,-0.00447776845637593
10,historical_peak,hybrid_importance_sampling,0.05,0.06974339471476511,0.20154916824786492,0.8304354026845637,0.834731543624161,-0.004296140939597293
10,historical_peak,hybrid_importance_sampling,0.07,0.047030817323825504,0.15242529300376811,0.766177432885906,0.7583892617449665,0.007788171140939548
10,historical_peak,hybrid_importance_sampling,0.1,0.024987577810402686,0.0934768497447807,0.7098099832214765,0.7088926174496645,0.0009173657718120065
20,origin_peak,egarch_student_t,0.03,0.23091536336717428,0.6897694720419943,0.6296269035532995,0.616751269035533,0.012875634517766521
20,origin_peak,egarch_student_t,0.05,0.24101418549069376,0.723618332932805,0.3338887478849408,0.3790186125211506,-0.04512986463620983
20,origin_peak,egarch_student_t,0.07,0.1885277802453469,0.6477954663963228,0.1744505076142132,0.2326565143824027,-0.05820600676818949
20,origin_peak,egarch_student_t,0.1,0.1198721975465313,0.6370694157470342,0.06846700507614213,0.12351945854483926,-0.055052453468697124
20,origin_peak,residual_block_bootstrap,0.03,0.2255635805837563,0.6573868903826571,0.6498701353637901,0.616751269035533,0.03311886632825711
20,origin_peak,residual_block_bootstrap,0.05,0.23039738557529613,0.666714764624087,0.3998938240270728,0.3790186125211506,0.020875211505922198
20,origin_peak,residual_block_bootstrap,0.07,0.18293781006768187,0.570937065472468,0.24163959390862944,0.2326565143824027,0.008983079526226734
20,origin_peak,residual_block_bootstrap,0.1,0.11912828193739425,0.5052136875896663,0.1140909475465313,0.12351945854483926,-0.009428510998307951
20,origin_peak,hybrid_monte_carlo,0.03,0.22782408079526228,0.6723909076696142,0.6413121827411167,0.616751269035533,0.024560913705583665
20,origin_peak,hybrid_monte_carlo,0.05,0.23332082952622676,0.6849247113991167,0.37002368866328256,0.3790186125211506,-0.008994923857868042
20,origin_peak,hybrid_monte_carlo,0.07,0.18430874661590524,0.593773338591816,0.2094627749576988,0.2326565143824027,-0.023193739424703902
