,rank_ic
2017-07-17,-0.10526315789473684
2017-07-18,-0.016541353383458645
2017-07-19,0.07220760194733451
2017-07-20,0.16992481203007515
2017-07-21,0.12561114088755065
2017-07-24,0.24060150375939846
2017-07-25,0.04962406015037594
2017-07-26,0.21954887218045113
2017-07-27,0.22105263157894736
2017-07-28,0.23458646616541348
2017-07-31,0.31127819548872177
2017-08-01,0.4240601503759398
2017-08-02,0.2857142857142857
2017-08-03,0.1533834586466165
2017-08-04,0.15488721804511277
2017-08-07,0.2781954887218045
2017-08-08,0.16992481203007515
2017-08-09,0.08270676691729321
2017-08-10,0.051127819548872175
2017-08-11,-0.015037593984962403
2017-08-14,0.21654135338345865
2017-08-15,0.30977443609022554
2017-08-16,0.38345864661654133
2017-08-17,0.27792207792207796
2017-08-18,0.24025974025974026
2017-08-21,0.07012987012987014
2017-08-22,0.17142857142857143
2017-08-23,0.12207792207792208
2017-08-24,0.15454545454545454
2017-08-25,-0.11038961038961038
2017-08-28,-0.15974025974025974
2017-08-29,-0.13116883116883118
2017-08-30,-0.09480519480519481
2017-08-31,-0.1987012987012987
2017-09-01,-0.12987012987012986
2017-09-05,-0.13896103896103898
2017-09-06,-0.05584415584415584
2017-09-07,0.13376623376623376
2017-09-08,0.22077922077922077
2017-09-11,0.09220779220779221
2017-09-12,0.13246753246753248
2017-09-13,0.22727272727272727
2017-09-14,0.2532467532467532
2017-09-15,0.2806106026529605
2017-09-18,0.2025974025974026
2017-09-19,0.348051948051948
2017-09-20,0.4246753246753247
2017-12-19,-0.14624505928853757
2017-12-20,-0.12450592885375496
2017-12-21,-0.07114624505928854
2017-12-22,-0.03656126482213439
2017-12-25,-0.06422924901185771
2017-12-26,-0.003952569169960474
2017-12-27,0.10968379446640317
2017-12-28,0.05632411067193676
2017-12-29,-0.0899209486166008
2018-01-02,-0.10671936758893281
2018-01-03,-0.03754940711462451
2018-01-04,-0.07707509881422926
2018-01-05,0.1643478260869565
2018-01-08,0.2669565217391304
2018-01-09,0.24695652173913044
2018-01-10,0.22434782608695653
2018-01-11,0.3078260869565217
2018-01-12,0.17565217391304347
2018-01-15,0.2478260869565217
2018-01-16,0.31652173913043474
2018-01-17,0.3347826086956522
2018-01-18,0.497391304347826
2018-01-19,0.20608695652173914
2018-01-22,0.2626086956521739
2018-01-25,0.34695652173913033
2018-01-26,0.4730434782608695
2018-01-29,0.27999999999999997
2018-01-30,0.2669565217391304
2018-01-31,0.368695652173913
2018-02-01,0.38608695652173913
2018-02-02,0.48869565217391303
2018-02-05,0.32608695652173914
2018-02-06,0.18608695652173912
2018-02-07,0.19304347826086957
2018-02-08,0.2582608695652174
2018-02-09,0.248695652173913
2018-02-12,0.19391304347826085
2018-02-13,0.18
2018-02-21,0.17076923076923078
2018-02-22,0.2230769230769231
2018-02-23,0.1815384615384615
2018-02-26,0.17541835292756178
2018-02-27,0.09923076923076923
2018-02-28,0.043076923076923075
2018-03-01,0.09307692307692307
2018-03-02,0.08923076923076922
2018-03-05,0.3823076923076923
2018-03-06,0.44538461538461543
2018-03-07,0.4461538461538462
2018-03-08,0.31384615384615383
2018-03-09,0.43999999999999995
2018-03-12,0.3276923076923077
2018-03-13,0.29846153846153844
2018-03-14,0.16153846153846155
2018-03-15,0.12846153846153846
2018-03-16,-0.09307692307692307
2018-03-19,-0.1323076923076923
2018-03-20,0.013846153846153848
2018-03-21,0.008547008547008546
2018-03-22,0.09538461538461539
2018-03-23,0.06598290598290597
2018-03-26,-0.14119658119658116
2018-03-27,-0.11316239316239315
2018-06-28,0.024630541871921176
2018-06-29,-0.01699716726773648
2018-07-02,0.18669950738916252
2018-07-03,0.23399014778325114
2018-07-04,0.006403940886699506
2018-07-05,0.18128078817733986
2018-07-06,-0.14285714285714282
2018-07-09,-0.2029556650246305
2018-07-10,-0.3453201970443349
2018-07-11,-0.09753694581280786
2018-07-12,-0.21921182266009848
2018-07-13,-0.27586206896551724
2018-07-16,-0.21280788177339893
2018-07-17,-0.19162561576354678
2018-07-18,-0.31034482758620685
2018-07-19,-0.20788177339901473
2018-07-20,-0.11674876847290637
2018-07-23,-0.1403940886699507
2018-07-24,-0.15862068965517237
2018-07-25,-0.028078817733990142
2018-07-26,0.029067619385404423
2018-07-27,0.07044334975369455
2018-07-30,0.180295566502463
2018-07-31,0.2275862068965517
2018-08-01,0.32758620689655166
2018-08-02,0.19014778325123147
2018-08-03,0.18275862068965515
2018-08-06,0.2684729064039408
2018-08-07,0.2285714285714285
2018-08-08,0.2945812807881773
2018-08-09,0.43201970443349746
2018-08-10,0.402463054187192
2018-08-13,0.4177339901477831
2018-08-14,0.4463054187192117
2018-08-15,0.5596059113300491
2018-08-16,0.3886699507389162
2018-08-17,0.2926468799140716
2018-08-20,0.4379849768410937
2018-08-21,0.2285714285714285
2018-08-22,0.3684729064039408
2018-08-23,0.1719211822660098
2018-08-24,0.13004926108374382
2018-08-27,0.09950738916256155
2018-08-28,-0.002955665024630541
2018-08-29,0.026108374384236445
2018-08-30,-0.08522167487684727
2018-08-31,-0.12068965517241378
2018-09-04,-0.06157635467980294
2018-09-05,-0.112807881773399
2018-09-06,-0.009359605911330046
2018-09-07,-0.06945812807881772
2018-09-10,-0.17487684729064035
2018-09-11,-0.19408866995073887
2018-09-12,-0.27586206896551724
2018-09-13,-0.4172413793103448
2018-09-14,-0.3226600985221674
2018-09-17,-0.30935960591132994
2018-09-18,-0.4064039408866994
2018-09-19,-0.40098522167487677
2018-09-20,-0.31674876847290634
2018-09-21,-0.3009852216748768
2018-09-24,-0.3039408866995073
2018-09-25,-0.2955665024630541
2018-12-24,-0.07661042058356589
2018-12-25,-0.1527093596059113
2018-12-26,0.029313955142907848
2018-12-27,-0.06847290640394087
2018-12-28,-0.15615763546798028
2019-01-02,-0.05763546798029554
2019-01-03,0.10985221674876844
2019-01-04,-0.04137931034482758
2019-01-07,-0.004926108374384235
2019-01-08,-0.08620689655172412
2019-01-09,0.12216748768472901
2019-01-10,0.13891625615763545
2019-01-11,0.25665024630541866
