step,drawdown_mean,drawdown_median,drawdown_q025,drawdown_q05,drawdown_q10,drawdown_q25,drawdown_q75,drawdown_q90,drawdown_q95,drawdown_q975,drawdown_lower_50,drawdown_upper_50,drawdown_lower_80,drawdown_upper_80,drawdown_lower_90,drawdown_upper_90,drawdown_lower_95,drawdown_upper_95,running_mdd_mean,running_mdd_median,running_mdd_q90,running_mdd_q95,running_mdd_q99,probability_breach_3,probability_breach_5,probability_breach_7,probability_breach_10,probability_breach_15,anchor_mode,estimated_trading_date
12,0.02152351430630307,0.01496826720759048,0.0,0.0,0.0,0.001795112176358138,0.03371045650775509,0.05388415819644098,0.06736721311865956,0.07940421455786817,0.001795112176358138,0.03371045650775509,0.0,0.05388415819644098,0.0,0.06736721311865956,0.0,0.07940421455786817,0.032813836284181115,0.02808652904529957,0.061958716128053835,0.07404631707804712,0.0983922384140095,0.463775,0.186,0.064125,0.00905,0.000175,origin_peak,2026-07-29
13,0.022454647013920602,0.01567820460458408,0.0,0.0,0.0,0.0022089054628500193,0.035100570432756606,0.05595733553601806,0.06949752637766865,0.08183250286473773,0.0022089054628500193,0.035100570432756606,0.0,0.05595733553601806,0.0,0.06949752637766865,0.0,0.08183250286473773,0.034560013294084924,0.029836676194375356,0.06448460309031376,0.07686910069805242,0.10201965780028438,0.4966,0.207575,0.074975,0.011625,0.0002,origin_peak,2026-07-30
14,0.023399513889157734,0.016570070102166823,0.0,0.0,0.0,0.002736544009402042,0.036421663128370335,0.058238176318455515,0.07213117993824622,0.08456729928975663,0.002736544009402042,0.036421663128370335,0.0,0.058238176318455515,0.0,0.07213117993824622,0.0,0.08456729928975663,0.03625059403396146,0.0314294819455449,0.06712708834532274,0.0796432872486476,0.10525085117879907,0.5272,0.22885,0.085925,0.014625,0.000325,origin_peak,2026-07-31
15,0.02425412809872677,0.017328046936471442,0.0,0.0,0.0,0.00311589052323899,0.03764246848919958,0.060012936631809455,0.0740232775999807,0.08708544652885203,0.00311589052323899,0.03764246848919958,0.0,0.060012936631809455,0.0,0.0740232775999807,0.0,0.08708544652885203,0.03786251246653035,0.03299585659816773,0.0694143637573278,0.08211936620662691,0.1083651224768925,0.556525,0.249925,0.09705,0.017875,0.0004,origin_peak,2026-08-03
16,0.02510941366678244,0.018002575922346276,0.0,0.0,0.0,0.003397045973365098,0.038910268549224386,0.06188544380400481,0.07661745942049848,0.09022388825520392,0.003397045973365098,0.038910268549224386,0.0,0.06188544380400481,0.0,0.07661745942049848,0.0,0.09022388825520392,0.03943708174981641,0.03442097735741717,0.07184442644762093,0.08465137538911997,0.11150783525245603,0.58305,0.271325,0.109325,0.02115,0.000525,origin_peak,2026-08-04
17,0.025920599233738705,0.018642226245513815,0.0,0.0,0.0,0.0036246630895434284,0.04001710572247005,0.0638422676791981,0.07901768145969747,0.09261041549753993,0.0036246630895434284,0.04001710572247005,0.0,0.0638422676791981,0.0,0.07901768145969747,0.0,0.09261041549753993,0.040935873077288576,0.035757566991153567,0.07407359613445219,0.08743175686558054,0.11466207618807674,0.60905,0.290775,0.122,0.025,0.00075,origin_peak,2026-08-05
18,0.02676624433923322,0.01935349934164876,0.0,0.0,0.0,0.00402688875098095,0.04156954141854449,0.0653830672217314,0.08095332755326648,0.09503051608960879,0.00402688875098095,0.04156954141854449,0.0,0.0653830672217314,0.0,0.08095332755326648,0.0,0.09503051608960879,0.04238044612509189,0.0371287012057826,0.07609144228364852,0.08996873654402915,0.11779291687898419,0.63375,0.31115,0.134075,0.028825,0.001075,origin_peak,2026-08-06
19,0.027569451198910872,0.02006099502124964,0.0,0.0,0.0,0.004149794667772072,0.042698488072856006,0.0673034774301161,0.08292710777799771,0.09699668270812843,0.004149794667772072,0.042698488072856006,0.0,0.0673034774301161,0.0,0.08292710777799771,0.0,0.09699668270812843,0.043808346052596224,0.038527094142481955,0.07825251955932787,0.09223179640982883,0.12014027896208136,0.657025,0.3303,0.14615,0.033525,0.001525,origin_peak,2026-08-07
20,0.028372973014678622,0.02072464263836371,0.0,0.0,0.0,0.004675979610075071,0.04389971153541883,0.06892054855848384,0.0848943847199329,0.0990054467106924,0.004675979610075071,0.04389971153541883,0.0,0.06892054855848384,0.0,0.0848943847199329,0.0,0.0990054467106924,0.045213540337199924,0.03983753278342844,0.08042203831072389,0.09429108166155468,0.1235635729031602,0.678125,0.3503,0.158675,0.0378,0.0019,origin_peak,2026-08-10
1,0.06501209891190714,0.06458106933609542,0.0456696212972,0.04909437372832511,0.05298674560540959,0.058561838123510235,0.07086911482398528,0.07762407051361142,0.08213261364862401,0.08752401798031462,0.058561838123510235,0.07086911482398528,0.05298674560540959,0.07762407051361142,0.04909437372832511,0.08213261364862401,0.0456696212972,0.08752401798031462,0.06501209891190714,0.06458106933609542,0.07762407051361142,0.08213261364862401,0.09396578787468679,0.997175,0.94455,0.278225,0.003225,0.0,historical_peak,2026-07-14
2,0.06422325680598792,0.0636843658508609,0.03556558474186529,0.040816908398651264,0.04571072196515954,0.05436778240488038,0.07319915255158038,0.08350369731118258,0.0900361738107962,0.09677267141425605,0.05436778240488038,0.07319915255158038,0.04571072196515954,0.08350369731118258,0.040816908398651264,0.0900361738107962,0.03556558474186529,0.09677267141425605,0.06865451788125637,0.06740424168046688,0.08476194780108814,0.09096203102121547,0.10502027799938995,0.998,0.959075,0.4071,0.018425,2.5e-05,historical_peak,2026-07-15
3,0.06351185223380255,0.06285639084019062,0.027074521757740277,0.0334067626335054,0.040176313141472166,0.05102258771477983,0.07527115376862001,0.08774902039115512,0.09562319605565973,0.10308187701776969,0.05102258771477983,0.07527115376862001,0.040176313141472166,0.08774902039115512,0.0334067626335054,0.09562319605565973,0.027074521757740277,0.10308187701776969,0.07132676362190751,0.06940295548913111,0.09009386070211323,0.09768904067432234,0.11406495796976021,0.998275,0.96505,0.481775,0.039375,0.0001,historical_peak,2026-07-16
4,0.06281102404254864,0.0621990828144906,0.019759348504567266,0.02708195133410991,0.03524153224888006,0.04807530382150971,0.07710322245308532,0.09116526571166692,0.10032750921406874,0.10885534052954421,0.04807530382150971,0.07710322245308532,0.03524153224888006,0.09116526571166692,0.02708195133410991,0.10032750921406874,0.019759348504567266,0.10885534052954421,0.07353255309856846,0.07110773080896277,0.09449632894294464,0.10270905596336935,0.12099991890059593,0.99855,0.969275,0.53335,0.063875,0.0002,historical_peak,2026-07-17
5,0.06207800307044183,0.061421791279795634,0.013126773286773103,0.02124693865878593,0.030585111008562104,0.04544529859489255,0.07825903364339323,0.09410919866903171,0.10387825302393294,0.11323590978193677,0.04544529859489255,0.07825903364339323,0.030585111008562104,0.09410919866903171,0.02124693865878593,0.10387825302393294,0.013126773286773103,0.11323590978193677,0.07534369879353513,0.07254046626842514,0.09833623658790155,0.10722592643934484,0.12636321679641724,0.998675,0.972025,0.569075,0.08745,0.00075,historical_peak,2026-07-20
6,0.06143743329711786,0.06102818101174734,0.00743279862842144,0.016068601186335303,0.02665138686642816,0.04299535722978462,0.07925052441553945,0.09649508395253331,0.10731007169043176,0.11650353335508562,0.04299535722978462,0.07925052441553945,0.02665138686642816,0.09649508395253331,0.016068601186335303,0.10731007169043176,0.00743279862842144,0.11650353335508562,0.07697202462795025,0.07373677506854787,0.101608663614388,0.11131308893386344,0.1312978102205794,0.99875,0.97395,0.5964,0.112075,0.0015,historical_peak,2026-07-21
7,0.0609040570896254,0.06044892633991056,0.003202854382017875,0.011740856886642993,0.022794509023314057,0.0407865485698963,0.08038453398728337,0.0988412384429057,0.1101015802099112,0.1198317392488476,0.0407865485698963,0.08038453398728337,0.022794509023314057,0.0988412384429057,0.011740856886642993,0.1101015802099112,0.003202854382017875,0.1198317392488476,0.07843392651844318,0.07501020118314988,0.10479087799380271,0.11470064912897134,0.13576004451588364,0.9988,0.975225,0.619675,0.134325,0.002775,historical_peak,2026-07-22
8,0.06045333170110042,0.06003227088150259,0.0,0.008047630229398984,0.019163091331160897,0.03872737127674142,0.08115001527604945,0.1008303176881931,0.11252383219726368,0.12317402101271996,0.03872737127674142,0.08115001527604945,0.019163091331160897,0.1008303176881931,0.008047630229398984,0.11252383219726368,0.0,0.12317402101271996,0.07976636549687238,0.07602651208358302,0.10749765726932209,0.11813876718662886,0.1394622810786684,0.99895,0.976075,0.63925,0.154325,0.004225,historical_peak,2026-07-23
9,0.06009266719253457,0.05967265955296541,0.0,0.004980044490384694,0.016105671578158964,0.036922487483491334,0.08192841613806409,0.10268366857466138,0.11540342845202053,0.12621203704597989,0.036922487483491334,0.08192841613806409,0.016105671578158964,0.10268366857466138,0.004980044490384694,0.11540342845202053,0.0,0.12621203704597989,0.08101325842862611,0.07694604954429574,0.10994630544802972,0.12118782960565105,0.14363354084065927,0.999,0.977125,0.65475,0.174125,0.005775,historical_peak,2026-07-24
10,0.05964491532519295,0.05911859518725254,0.0,0.0029375247793626325,0.013438804189069299,0.034678374744653157,0.08261383679728329,0.104043263927505,0.11769555242392131,0.1292851349412518,0.034678374744653157,0.08261383679728329,0.013438804189069299,0.104043263927505,0.0029375247793626325,0.11769555242392131,0.0,0.1292851349412518,0.08216253426495537,0.07788812167619014,0.11224262812319036,0.1242707358360831,0.14712315976491158,0.999075,0.97815,0.667575,0.19165,0.00785,historical_peak,2026-07-27
