date,n_assets,estimator,rule,condition_number,off_diagonal_zeros,shrinkage,turnover_traded,cost,effective_n_weights,effective_n_bets,diversification_ratio,max_weight,max_risk_contribution,ex_ante_volatility_annual,forecast_frobenius,forecast_log_likelihood,forecast_n,key
2017-05-25,19,sample,risk_parity,67.65706324444938,0.0,,0.22400557027082718,0.0003360083554062408,15.738504078231543,5.760926901952824,2.7613113122470128,0.12788407135206095,0.05263157895034762,0.08682633945484264,0.0015090412290477218,49.17911226651725,20,risk_parity__sample
2017-06-22,19,sample,risk_parity,46.01994230384732,0.0,,0.2061010025914896,0.0003091515038872344,13.540970210182392,5.354593774749736,2.8552071809910378,0.15338175612026902,0.05263157895179711,0.07698882049650307,0.0016410671093166653,55.54779598483525,20,risk_parity__sample
2017-07-20,20,sample,risk_parity,50.64139725191821,0.0,,0.2160229735057578,0.0003240344602586367,11.200886267190452,3.8842686198239247,3.125719591200251,0.21515919763113592,0.05000000001042619,0.06648246460261535,0.001927220053452538,54.01346914681211,20,risk_parity__sample
2017-08-17,20,sample,risk_parity,80.94806803607156,0.0,,0.32958895536307037,0.0004943834330446055,15.396991356218727,2.170660305000817,2.130104414488978,0.1245632746139811,0.050000000025030654,0.09737417067137746,0.0014885941687144421,54.38844922044089,20,risk_parity__sample
2017-09-15,20,sample,risk_parity,139.03098633096403,0.0,,0.18452676998655698,0.00027679015497983545,16.918669436870832,2.1664893451709566,2.0172167285499465,0.10582940682447992,0.05000000000209466,0.10400431597226827,0.0017425948240004255,46.198713321752095,20,risk_parity__sample
2017-10-13,20,sample,risk_parity,68.48440033035192,0.0,,0.24679412242832793,0.0003701911836424919,17.278857823866037,2.742595609556057,2.2165884330368746,0.11201519767130681,0.05000000000736021,0.09324236081245553,0.0017458367423370477,45.46670404561232,20,risk_parity__sample
2017-11-10,21,sample,risk_parity,46.434353829264765,0.0,,0.32502092746387334,0.00048753139119581004,19.24817974322267,3.2131735224990257,2.627113044695183,0.07532868983680364,0.04761904762270519,0.08915469130135119,0.0034146502831975418,34.56677792194881,20,risk_parity__sample
2017-12-08,21,sample,risk_parity,43.0094956504404,0.0,,0.25220702139482765,0.0003783105320922415,19.64521789190319,1.5967458258665457,2.2913400835550273,0.06914297635615423,0.047619047621676416,0.12361703177697746,0.004146132912595198,46.89224808359504,20,risk_parity__sample
2018-01-08,22,sample,risk_parity,67.15828685497057,0.0,,0.28020648626833883,0.00042030972940250823,19.18371514990757,1.6936892649052036,2.144480218578012,0.08867645952728258,0.04545454548462041,0.14893487480389273,0.012247191558790838,25.246919196090545,20,risk_parity__sample
2018-02-07,23,sample,risk_parity,120.43600733437175,0.0,,0.3330403990702533,0.00049956059860538,20.563032560359833,1.4059007037577915,1.789118345313326,0.08136892932677144,0.0434782608752759,0.23095849912840713,0.005685021568880531,47.78766766718624,20,risk_parity__sample
2018-03-14,23,sample,risk_parity,142.7213579068896,0.0,,0.14488757895961163,0.00021733136843941745,19.662249295436794,1.4081296366991805,1.6947171475854048,0.0985783465655747,0.04347826087112967,0.2542664036237382,0.006466955452877201,56.007686441271176,20,risk_parity__sample
2018-04-11,24,sample,risk_parity,193.56355796792604,0.0,,0.14549750938177383,0.00021824626407266075,20.556248167436703,1.3993147304803337,1.6969624988959737,0.09000196092009347,0.04166666666827378,0.2510832768888209,0.010376262660576814,44.824745005788245,20,risk_parity__sample
2018-05-14,25,sample,risk_parity,312.07463472377077,0.0,,0.3731230014050699,0.0005596845021076048,17.418921065370444,1.8884804811244218,1.909357279764626,0.14692545902845763,0.040000000002375094,0.21996210417534348,0.01100003370217592,47.433398375566966,20,risk_parity__sample
